zipcode,daily commute time,violent_crime_index,property_crime_index,Provider ID,Hospital Name,Location,State,County Name,household income,population,average age,race white percentage,race black percentage,race asian percentage,race hispanic percentage,race other percentage,schoolid,schoolname,lat,lng,schoollevel,schooltype,average score,teacher student ratio,enrollment,freelunch ratio,ethnic african ratio,ethnic asian ratio,ethnic hispanic ratio,ethnic white student ratio,ethnic two_or_more ratio,ethnic others ratio
90815,29.0,29.3,36.5,,,,,,"79,525","40,359",37.6,60.2,5.0,10.7,19.2,4.9,62250002715.0,Gant Elementary,33.790073,-118.118875,Elementary,public,93.16,27.2,600.0,23.0,8.5,10.67,24.33,43.17,12.67,0.66
90822,0.0,0.0,0.0,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
90831,0.0,0.0,0.0,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
90731,29.0,53.7,59.3,,,,,,"49,786","61,789",35.9,31.5,6.5,4.5,53.0,4.5,62271013099.0,Alliance Alice M. Baxter College-Ready High,33.73578,-118.28706100000001,High,charter,69.12,18.6,279.0,74.2,7.89,5.38,79.93,5.02,0.0,1.78
90732,28.0,25.5,31.0,50078.0,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,"1300 W 7TH ST SAN PEDRO, CA 90732 (33.737928, -118.305005)",CA,LOS ANGELES,"84,537","22,408",46.8,56.9,2.4,8.9,25.9,5.9,62271007766.0,Ernest P. Willenberg Special Education Center,33.740613,-118.30932299999999,Alternative,public,4.86,7.0,168.0,70.8,14.29,11.9,53.57,14.88,2.98,2.38
90732,28.0,25.5,31.0,50078.0,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,"1300 W 7TH ST SAN PEDRO, CA 90732 (33.737928, -118.305005)",CA,LOS ANGELES,"84,537","22,408",46.8,56.9,2.4,8.9,25.9,5.9,62271003270.0,Park Western Place Elementary,33.753316,-118.30403600000001,Elementary,public,86.03,24.0,721.0,60.5,8.74,14.29,57.98,12.21,6.1,0.68
90732,28.0,25.5,31.0,50078.0,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,"1300 W 7TH ST SAN PEDRO, CA 90732 (33.737928, -118.305005)",CA,LOS ANGELES,"84,537","22,408",46.8,56.9,2.4,8.9,25.9,5.9,62271003344.0,Seventh Street Elementary,33.738611,-118.31146499999998,Elementary,public,33.33,21.9,460.0,65.7,4.78,2.39,66.96,20.43,5.0,0.44
90732,28.0,25.5,31.0,50078.0,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,"1300 W 7TH ST SAN PEDRO, CA 90732 (33.737928, -118.305005)",CA,LOS ANGELES,"84,537","22,408",46.8,56.9,2.4,8.9,25.9,5.9,62271003366.0,South Shores/CSUDH Visual and Performing Arts,33.722597,-118.322479,Elementary,public,69.81,24.8,473.0,43.1,6.55,4.44,44.61,36.36,6.34,1.7
90744,25.0,58.2,61.8,,,,,,"41,578","56,779",28.4,4.5,2.2,2.2,89.5,1.6,,,,,,,,,,,,,,,,
90710,28.0,41.6,47.0,50411.0,KAISER FOUNDATION HOSPITAL - SOUTH BAY,"25825 SOUTH VERMONT AVENUE HARBOR CITY, CA 90710 (33.788623, -118.294366)",CA,LOS ANGELES,"54,630","28,667",37.6,19.7,10.1,16.2,48.0,6.0,,,,,,,,,,,,,,,,
90094,28.0,25.8,29.7,,,,,,"96,010","8,568",33.2,44.5,13.6,27.5,7.9,6.5,62271013195.0,Playa Vista Elementary,33.968459,-118.42446399999999,Elementary,public,79.93,25.0,576.0,21.0,20.49,16.67,17.53,34.2,10.76,0.35
90291,27.0,38.0,46.1,50740.0,MARINA DEL REY HOSPITAL,"4650 LINCOLN BLVD MARINA DEL REY, CA 90291 (33.981732, -118.440154)",CA,LOS ANGELES,"81,025","27,170",37.4,67.1,5.0,5.2,17.8,4.9,,,,,,,,,,,,,,,,
90292,30.0,38.3,47.0,,,,,,"103,319","22,328",40.7,73.6,4.8,8.0,9.0,4.6,62271002822.0,Westside Global Awareness Magnet,33.979147999999995,-118.46491499999999,Elementary,public,57.05,19.4,388.0,80.9,25.0,1.55,58.25,9.28,4.64,1.28
90293,29.0,26.5,35.1,,,,,,"84,588","12,762",37.4,59.9,8.2,11.9,15.6,4.4,62271003274.0,Paseo del Rey Fundamental,33.956737,-118.433821,Elementary,public,49.82,24.6,492.0,60.4,53.46,4.47,21.95,13.41,6.3,0.41
90272,29.0,19.9,23.8,,,,,,"157,938","22,927",47.4,85.1,1.3,5.4,4.5,3.7,62271003170.0,Marquez Charter,34.045734,-118.547722,Elementary,charter,92.05,22.2,533.0,8.3,3.38,6.19,9.38,76.92,3.75,0.38
90272,29.0,19.9,23.8,,,,,,"157,938","22,927",47.4,85.1,1.3,5.4,4.5,3.7,62271003260.0,Palisades Charter Elementary,34.045626,-118.527212,Elementary,charter,97.5,21.1,487.0,6.4,1.23,3.49,8.01,79.06,8.01,0.2
90272,29.0,19.9,23.8,,,,,,"157,938","22,927",47.4,85.1,1.3,5.4,4.5,3.7,62271004593.0,Palisades Charter High,34.047035,-118.531057,High,charter,87.51,23.0,2982.0,29.5,13.92,9.15,21.33,54.29,0.4,0.91
90057,36.0,66.0,68.7,50502.0,SAINT VINCENT MEDICAL CENTER,"2131 W 3RD ST LOS ANGELES, CA 90057 (34.06319, -118.273665)",CA,LOS ANGELES,"26,940","49,389",32.4,4.7,4.8,19.7,69.9,0.9,,,,,,,,,,,,,,,,
90058,0.0,66.4,69.0,,,,,,"15,988","3,189",37.4,2.0,11.6,8.3,78.1,0.0,62271003090.0,Holmes Avenue Elementary,33.995789,-118.240388,Elementary,public,11.68,21.1,275.0,94.5,15.64,2.55,80.36,0.73,0.73,0.0
90058,0.0,66.4,69.0,,,,,,"15,988","3,189",37.4,2.0,11.6,8.3,78.1,0.0,62271003432.0,Vernon City Elementary,34.003484,-118.231284,Elementary,public,37.24,22.3,246.0,94.7,1.63,0.0,97.56,0.41,0.41,0.0
90059,32.0,65.5,68.2,50779.0,"MARTIN LUTHER KING, JR. COMMUNITY HOSPITAL","1680 EAST 120TH STREET LOS ANGELES, CA 90059 (33.924361, -118.244331)",CA,LOS ANGELES,"33,678","47,351",37.4,1.0,32.6,0.7,64.5,1.2,,,,,,,,,,,,,,,,
90061,31.0,65.4,68.1,,,,,,"34,566","28,003",27.6,1.1,36.4,0.1,61.7,0.7,,,,,,,,,,,,,,,,
90062,35.0,63.1,66.3,,,,,,"32,067","33,627",37.4,1.1,35.1,0.8,60.5,2.5,62271012771.0,Barack Obama Global Preparation Academy,34.001607,-118.30921000000001,Middle,public,4.98,19.6,478.0,91.0,26.78,0.42,69.46,1.88,0.84,0.62
90064,24.0,27.7,33.5,,,,,,"86,573","26,007",38.9,60.5,2.8,18.8,14.0,3.9,62271013088.0,Citizens of the World Charter School Mar Vista,34.031956,-118.442742,Elementary,charter,84.73,24.8,475.0,24.4,6.74,4.0,19.16,45.05,24.42,0.63
90064,24.0,27.7,33.5,,,,,,"86,573","26,007",38.9,60.5,2.8,18.8,14.0,3.9,62271003445.0,Daniel Webster Middle,34.028847,-118.434835,Middle,public,17.05,15.9,431.0,84.2,21.35,2.09,71.23,4.41,0.93,0.0
90065,33.0,44.5,49.9,,,,,,"52,794","48,420",37.1,19.2,1.4,14.2,62.8,2.4,,,,,,,,,,,,,,,,
90066,27.0,35.1,43.1,,,,,,"68,346","59,747",37.1,46.2,4.7,14.2,30.8,4.1,62271012631.0,Animo Westside Charter Middle,33.9776,-118.41871100000002,Middle,charter,31.4,21.6,433.0,80.1,27.02,0.92,54.97,3.0,12.47,1.62
90066,27.0,35.1,43.1,,,,,,"68,346","59,747",37.1,46.2,4.7,14.2,30.8,4.1,62271002843.0,Beethoven Street Elementary,34.002041,-118.44331499999998,Elementary,public,60.92,25.3,330.0,60.3,3.33,3.03,58.18,32.42,2.73,0.31
90066,27.0,35.1,43.1,,,,,,"68,346","59,747",37.1,46.2,4.7,14.2,30.8,4.1,62271012215.0,Goethe International Charter,33.986658,-118.42102,Elementary,charter,88.13,20.6,434.0,22.6,8.76,5.76,29.26,42.17,14.06,0.0
90066,27.0,35.1,43.1,,,,,,"68,346","59,747",37.1,46.2,4.7,14.2,30.8,4.1,62271003051.0,Grand View Boulevard Elementary,34.002325,-118.429673,Elementary,public,51.54,20.7,704.0,67.0,11.65,1.56,68.32,15.91,2.27,0.29
90066,27.0,35.1,43.1,,,,,,"68,346","59,747",37.1,46.2,4.7,14.2,30.8,4.1,62271012222.0,ICEF Vista Elementary Academy,33.994584,-118.418724,Elementary,charter,49.86,25.5,357.0,97.5,1.12,0.28,97.48,0.84,0.28,-0.0
90067,0.0,22.2,26.9,,,,,,"89,500","2,235",58.9,81.6,0.3,12.0,1.4,4.7,,,,,,,,,,,,,,,,
90068,29.0,32.0,40.0,,,,,,"73,373","21,726",38.5,72.0,5.3,7.7,9.6,5.4,62271003417.0,Valley View Elementary,34.125309,-118.34496100000001,Elementary,public,84.99,22.9,229.0,21.8,3.93,2.18,19.21,64.63,10.04,0.01
90041,31.0,31.9,39.0,,,,,,"64,545","28,651",40.1,30.4,1.2,28.7,37.0,2.7,,,,,,,,,,,,,,,,
90042,32.0,47.2,52.5,,,,,,"51,427","63,788",37.4,14.9,2.8,11.6,68.6,2.1,,,,,,,,,,,,,,,,
90043,34.0,56.1,60.0,,,,,,"38,738","44,571",40.3,3.7,59.8,1.6,30.7,4.2,,,,,,,,,,,,,,,,
90044,35.0,65.9,68.6,,,,,,"28,344","94,680",30.2,1.1,36.2,0.4,60.6,1.7,62271013065.0,Augustus F. Hawkins High A Critical Design and Gaming,33.985818,-118.288026,High,public,24.81,18.3,533.0,84.2,16.14,0.38,81.99,0.75,0.38,0.36
90044,35.0,65.9,68.6,,,,,,"28,344","94,680",30.2,1.1,36.2,0.4,60.6,1.7,62271013095.0,Augustus F. Hawkins High B Community Health Advocates,33.985728,-118.288071,High,public,19.42,15.8,502.0,87.5,13.55,0.2,84.26,1.2,0.8,0.0
90044,35.0,65.9,68.6,,,,,,"28,344","94,680",30.2,1.1,36.2,0.4,60.6,1.7,62271013166.0,Augustus F. Hawkins High C Rspnsbl Indigenous Soc Entrepr,33.985777,-118.28783,High,public,15.42,16.6,446.0,85.4,28.92,0.22,69.28,0.9,0.45,0.23
90044,35.0,65.9,68.6,,,,,,"28,344","94,680",30.2,1.1,36.2,0.4,60.6,1.7,62271003073.0,Bret Harte Preparatory Middle,33.951795000000004,-118.28726200000001,Middle,public,7.36,26.2,617.0,90.3,26.09,0.32,72.93,0.32,0.16,0.18
90045,26.0,26.4,34.6,,,,,,"78,082","41,420",35.1,51.2,13.7,12.6,17.2,5.3,62271011665.0,Bright Star Secondary Charter Academy,33.948046000000005,-118.376019,High,charter,72.34,20.5,552.0,91.8,10.69,1.63,86.23,0.36,0.91,0.18
90045,26.0,26.4,34.6,,,,,,"78,082","41,420",35.1,51.2,13.7,12.6,17.2,5.3,62271002940.0,Cowan Avenue Elementary,33.972671999999996,-118.40544399999999,Elementary,public,64.12,19.7,296.0,65.2,78.04,0.34,13.51,3.72,3.38,1.01
90045,26.0,26.4,34.6,,,,,,"78,082","41,420",35.1,51.2,13.7,12.6,17.2,5.3,62271003114.0,Kentwood Elementary,33.96248,-118.40460700000001,Elementary,public,64.59,20.7,352.0,33.0,31.82,6.53,26.42,26.42,8.81,-0.0
90045,26.0,26.4,34.6,,,,,,"78,082","41,420",35.1,51.2,13.7,12.6,17.2,5.3,62271003153.0,Loyola Village Fine And Performing Arts Magnet,33.957702000000005,-118.420477,Elementary,public,44.76,23.2,395.0,72.2,57.97,2.03,31.9,4.3,3.29,0.51
90046,29.0,42.3,50.9,,,,,,"56,337","51,615",38.1,75.0,3.9,5.6,10.0,5.5,62271002998.0,Fairfax Senior High,34.082840000000004,-118.359927,High,public,67.51,23.7,1922.0,84.3,16.65,19.93,56.14,5.93,0.99,0.36
90046,29.0,42.3,50.9,,,,,,"56,337","51,615",38.1,75.0,3.9,5.6,10.0,5.5,62271003036.0,Gardner Street Elementary,34.099564,-118.35203899999999,Elementary,public,66.39,23.8,381.0,61.9,4.46,3.41,22.31,67.19,2.62,0.01
90046,29.0,42.3,50.9,,,,,,"56,337","51,615",38.1,75.0,3.9,5.6,10.0,5.5,62271010870.0,Larchmont Charter,34.09355,-118.36199099999999,Alternative,charter,89.15,21.8,1432.0,38.3,4.89,21.16,29.68,34.15,9.85,0.27
90046,29.0,42.3,50.9,,,,,,"56,337","51,615",38.1,75.0,3.9,5.6,10.0,5.5,62271003127.0,Laurel Elementary,34.087628,-118.36313799999999,Elementary,public,32.18,22.7,319.0,79.0,11.6,9.4,47.96,28.21,2.51,0.32
90046,29.0,42.3,50.9,,,,,,"56,337","51,615",38.1,75.0,3.9,5.6,10.0,5.5,62271003178.0,Melrose Avenue Elementary,34.084236,-118.34539299999999,Elementary,public,84.82,20.8,334.0,55.4,6.29,23.05,38.62,27.54,4.19,0.31
90046,29.0,42.3,50.9,,,,,,"56,337","51,615",38.1,75.0,3.9,5.6,10.0,5.5,62271003452.0,West Hollywood Opportunity,34.090006,-118.3618,High,public,18.18,13.8,69.0,75.4,36.23,1.45,57.97,1.45,2.9,-0.0
90046,29.0,42.3,50.9,,,,,,"56,337","51,615",38.1,75.0,3.9,5.6,10.0,5.5,62271003470.0,Wonderland Avenue Elementary,34.114314,-118.379954,Elementary,public,98.62,26.1,523.0,11.1,3.06,20.65,3.06,67.5,5.74,0.0
90047,35.0,58.2,61.6,,,,,,"40,528","48,491",37.4,1.2,64.9,0.7,31.1,2.1,62271012378.0,Alliance Piera Barbaglia Shaheen Health Services Academy,33.939421,-118.308757,High,charter,49.47,18.4,462.0,89.0,12.77,0.22,84.85,1.08,0.65,0.43
90048,25.0,36.9,45.6,50625.0,CEDARS-SINAI MEDICAL CENTER,"8700 BEVERLY BLVD LOS ANGELES, CA 90048 (34.075496, -118.380122)",CA,LOS ANGELES,"72,913","22,860",37.1,77.6,2.3,9.5,7.4,3.2,62271002901.0,Carthay Elementary Of Environmental Studies Magnet,34.059307000000004,-118.369374,Elementary,public,41.25,28.2,367.0,69.2,26.7,10.63,40.33,17.71,3.81,0.82
90048,25.0,36.9,45.6,50625.0,CEDARS-SINAI MEDICAL CENTER,"8700 BEVERLY BLVD LOS ANGELES, CA 90048 (34.075496, -118.380122)",CA,LOS ANGELES,"72,913","22,860",37.1,77.6,2.3,9.5,7.4,3.2,62271003319.0,Rosewood Avenue Elementary,34.080762,-118.37458500000001,Elementary,public,57.12,22.0,287.0,54.4,20.21,9.76,40.07,25.78,3.83,0.35
90049,25.0,26.4,32.8,,,,,,"116,732","36,362",41.8,80.1,0.7,9.1,6.5,3.6,62271002863.0,Brentwood Science,34.050717,-118.47463400000001,Elementary,public,41.47,25.1,779.0,83.8,26.19,9.11,54.04,7.7,2.31,0.65
90049,25.0,26.4,32.8,,,,,,"116,732","36,362",41.8,80.1,0.7,9.1,6.5,3.6,62271002935.0,Community Magnet Charter Elementary,34.082118,-118.46263,Elementary,charter,94.15,25.6,461.0,26.9,12.15,28.42,14.53,38.39,6.51,0.0
90049,25.0,26.4,32.8,,,,,,"116,732","36,362",41.8,80.1,0.7,9.1,6.5,3.6,62271003113.0,Kenter Canyon Elementary Charter,34.070732,-118.489069,Elementary,charter,96.43,25.1,554.0,6.5,1.44,8.3,6.86,78.7,4.69,0.01
90049,25.0,26.4,32.8,,,,,,"116,732","36,362",41.8,80.1,0.7,9.1,6.5,3.6,62271003302.0,Paul Revere Charter Middle,34.056227,-118.49505800000001,Middle,charter,87.01,26.4,2152.0,26.3,12.55,8.09,21.33,54.32,3.07,0.64
90248,26.0,29.2,35.1,,,,,,"51,956","10,899",45.5,9.2,15.3,29.8,42.2,3.5,62271003034.0,Gardena Senior High,33.867695,-118.295449,High,public,35.19,21.8,1506.0,89.0,21.91,6.44,67.4,2.12,1.0,1.13
90248,26.0,29.2,35.1,,,,,,"51,956","10,899",45.5,9.2,15.3,29.8,42.2,3.5,62271003190.0,Moneta Continuation,33.870177000000005,-118.29496599999999,High,public,11.65,15.3,46.0,87.0,26.09,2.17,67.39,2.17,2.17,0.01
90248,26.0,29.2,35.1,,,,,,"51,956","10,899",45.5,9.2,15.3,29.8,42.2,3.5,62271012253.0,New Millennium Secondary,33.867049,-118.297797,High,charter,34.72,18.2,201.0,51.2,55.72,1.49,38.31,1.49,1.99,1.0
90248,26.0,29.2,35.1,,,,,,"51,956","10,899",45.5,9.2,15.3,29.8,42.2,3.5,62271003238.0,One Hundred Eighty-Sixth Street Elementary,33.862239,-118.30609,Elementary,public,49.97,23.5,824.0,75.8,16.14,6.19,68.93,3.64,3.76,1.34
90071,0.0,0.0,0.0,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
90073,0.0,0.0,0.0,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
90077,29.0,19.1,22.8,,,,,,"172,443","8,936",47.8,82.0,1.2,7.1,6.7,3.0,62271003317.0,Roscomare Road Elementary,34.119509,-118.464605,Elementary,public,98.55,22.9,459.0,6.5,3.27,6.97,5.23,77.78,6.1,0.65
90079,0.0,0.0,0.0,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
90089,0.0,24.8,31.2,,,,,,"10,625","3,846",19.4,47.7,2.1,33.0,10.8,6.4,,,,,,,,,,,,,,,,
90002,35.0,65.6,68.3,,,,,,"30,214","52,856",26.2,0.8,24.3,0.3,74.2,0.4,,,,,,,,,,,,,,,,
90003,36.0,65.7,68.3,,,,,,"30,016","70,490",26.8,0.5,24.2,0.4,74.1,0.8,62271013079.0,Academy for Multilingual Arts and Sci at Mervyn M. Dymally High,33.957097,-118.269051,High,public,18.85,24.5,723.0,84.2,20.61,0.28,78.01,0.69,0.28,0.13
90004,32.0,56.5,62.7,,,,,,"38,493","62,733",35.8,17.4,3.2,25.4,50.8,3.2,62271002805.0,Alexandria Avenue Elementary,34.077899,-118.29894099999999,Elementary,public,18.19,24.0,795.0,86.0,0.88,5.41,89.69,2.39,0.75,0.88
90004,32.0,56.5,62.7,,,,,,"38,493","62,733",35.8,17.4,3.2,25.4,50.8,3.2,62271002883.0,Cahuenga Elementary,34.070586,-118.305255,Elementary,public,67.71,21.3,513.0,82.3,1.95,43.86,49.12,2.92,1.95,0.2
90005,34.0,65.3,68.0,,,,,,"31,214","39,562",37.4,8.5,3.8,33.2,52.8,1.7,62271012566.0,Ambassador School-Global Education,34.05836,-118.297375,Elementary,public,28.77,19.7,375.0,87.2,2.13,18.4,68.53,8.53,2.13,0.28
90005,34.0,65.3,68.0,,,,,,"31,214","39,562",37.4,8.5,3.8,33.2,52.8,1.7,62271012559.0,Ambassador-Global Leadership,34.059801,-118.29683200000001,Alternative,public,25.42,20.1,630.0,86.0,2.22,18.1,76.98,1.75,0.48,0.47
90006,35.0,65.6,68.3,,,,,,"31,403","62,329",33.5,3.4,2.9,18.0,74.6,1.1,62271002853.0,Berendo Middle,34.049357,-118.294005,Middle,public,13.88,20.6,763.0,93.4,2.62,1.57,95.02,0.52,0.26,0.01
90006,35.0,65.6,68.3,,,,,,"31,403","62,329",33.5,3.4,2.9,18.0,74.6,1.1,62271003086.0,Hobart Boulevard Elementary,34.052820000000004,-118.304507,Elementary,public,30.34,23.3,677.0,87.9,1.77,5.17,89.96,2.22,0.89,0.0
90006,35.0,65.6,68.3,,,,,,"31,403","62,329",33.5,3.4,2.9,18.0,74.6,1.1,62271010242.0,Leo Politi Elementary,34.051111,-118.28687,Elementary,public,13.87,22.2,735.0,93.5,2.31,1.9,94.15,1.22,0.14,0.28
90006,35.0,65.6,68.3,,,,,,"31,403","62,329",33.5,3.4,2.9,18.0,74.6,1.1,62271002143.0,Los Angeles Elementary,34.048611,-118.30573899999999,Elementary,public,33.22,24.6,765.0,86.1,2.22,1.18,92.94,2.22,1.18,0.26
90006,35.0,65.6,68.3,,,,,,"31,403","62,329",33.5,3.4,2.9,18.0,74.6,1.1,62271003157.0,Magnolia Avenue Elementary,34.043495,-118.288003,Elementary,public,16.33,22.6,1109.0,92.4,0.9,0.36,96.57,1.35,0.63,0.19
90007,30.0,51.1,55.1,,,,,,"22,646","41,221",37.4,17.3,10.0,18.5,52.1,2.1,,,,,,,,,,,,,,,,
90008,35.0,60.9,65.7,,,,,,"36,180","32,359",41.5,2.0,68.5,3.2,22.2,4.1,62271002829.0,Audubon Middle,34.009202,-118.32914699999999,Middle,public,8.69,16.5,539.0,84.0,56.77,0.74,41.0,0.37,0.93,0.19
90008,35.0,60.9,65.7,,,,,,"36,180","32,359",41.5,2.0,68.5,3.2,22.2,4.1,62271011312.0,CATCH Prep Charter High Inc.,34.009336,-118.32915200000001,High,charter,31.92,16.0,162.0,95.1,80.25,0.62,17.9,0.62,0.62,0.0
90010,28.0,37.4,46.2,,,,,,"47,308","3,759",39.5,15.6,1.8,73.7,8.7,0.2,62271012493.0,New Open World Academy K-12,34.058037,-118.29738799999998,Alternative,public,23.02,22.5,1197.0,88.7,2.84,7.35,84.8,3.26,0.84,0.91
90010,28.0,37.4,46.2,,,,,,"47,308","3,759",39.5,15.6,1.8,73.7,8.7,0.2,62271012852.0,Rise Kohyang Middle,34.06125,-118.28738100000001,Middle,charter,77.48,20.4,398.0,84.9,4.52,42.46,47.74,1.76,2.01,1.51
90011,31.0,65.6,68.3,,,,,,"29,889","108,051",27.8,0.5,7.7,0.6,90.4,0.8,,,,,,,,,,,,,,,,
90012,28.0,64.4,67.2,,,,,,"29,492","33,783",36.6,16.4,11.6,43.3,26.0,2.7,62271002817.0,Ann Street Elementary,34.064142,-118.23057,Elementary,public,14.21,18.0,126.0,96.0,9.52,0.79,88.89,0.0,0.79,0.01
90012,28.0,64.4,67.2,,,,,,"29,492","33,783",36.6,16.4,11.6,43.3,26.0,2.7,62271002903.0,Castelar Street Elementary,34.064011,-118.239773,Elementary,public,61.54,23.5,660.0,73.8,3.03,65.3,26.67,2.27,2.58,0.15
90012,28.0,64.4,67.2,,,,,,"29,492","33,783",36.6,16.4,11.6,43.3,26.0,2.7,62271007757.0,Downtown Business High,34.063001,-118.250479,High,public,95.83,22.9,1034.0,75.1,6.77,31.24,57.64,2.9,0.58,0.87
90012,28.0,64.4,67.2,,,,,,"29,492","33,783",36.6,16.4,11.6,43.3,26.0,2.7,62271012439.0,Ramon C. Cortines School of Visual and Performing Arts,34.05983,-118.244238,High,public,58.04,23.3,1459.0,77.1,7.54,8.29,70.53,11.79,1.3,0.55
90012,28.0,64.4,67.2,,,,,,"29,492","33,783",36.6,16.4,11.6,43.3,26.0,2.7,62271003360.0,Solano Avenue Elementary,34.076015000000005,-118.23219499999999,Elementary,public,87.95,24.1,241.0,72.2,2.49,40.25,47.3,4.98,4.98,0.0
90013,32.0,66.1,68.7,,,,,,"21,120","11,957",43.1,26.1,32.6,16.8,18.2,6.3,,,,,,,,,,,,,,,,
90014,31.0,62.2,67.5,,,,,,"17,134","7,408",43.2,42.2,19.5,16.2,18.0,4.1,,,,,,,,,,,,,,,,
90015,33.0,64.5,67.2,50149.0,CALIFORNIA HOSPITAL MEDICAL CENTER LA,"1401 SOUTH GRAND AVENUE LOS ANGELES, CA 90015 (34.037212, -118.265363)",CA,LOS ANGELES,"28,953","20,187",32.8,11.6,5.9,15.4,66.4,0.7,,,,,,,,,,,,,,,,
90016,32.0,56.1,60.9,,,,,,"38,050","46,303",35.2,4.9,36.7,3.1,52.6,2.7,62271002834.0,Baldwin Hills Elementary,34.022187,-118.365177,Elementary,public,52.62,18.9,378.0,80.4,67.46,0.79,22.75,3.17,5.29,0.54
90016,32.0,56.1,60.9,,,,,,"38,050","46,303",35.2,4.9,36.7,3.1,52.6,2.7,62271002919.0,Cienega Elementary,34.031852,-118.353766,Elementary,public,38.62,22.3,626.0,83.9,13.1,0.16,81.31,3.35,1.76,0.32
90016,32.0,56.1,60.9,,,,,,"38,050","46,303",35.2,4.9,36.7,3.1,52.6,2.7,62271002930.0,Coliseum Street Elementary,34.017972,-118.34384299999999,Elementary,public,9.37,19.0,229.0,80.8,48.47,0.44,47.16,1.75,2.18,0.0
90016,32.0,56.1,60.9,,,,,,"38,050","46,303",35.2,4.9,36.7,3.1,52.6,2.7,62271003172.0,Marvin Elementary,34.035467,-118.36433799999999,Elementary,public,43.83,24.0,865.0,87.9,9.48,0.12,85.78,2.89,1.27,0.46
90017,32.0,64.1,66.9,50471.0,GOOD SAMARITAN HOSPITAL,"1225 WILSHIRE BOULEVARD LOS ANGELES, CA 90017 (34.053209, -118.265292)",CA,LOS ANGELES,"21,009","26,390",30.2,12.4,4.5,14.3,67.6,1.2,62271012314.0,Contreras Learning Center-Academic Leadership Community,34.057818,-118.261128,High,public,48.78,20.1,433.0,91.2,0.69,1.62,96.07,0.69,0.69,0.24
90017,32.0,64.1,66.9,50471.0,GOOD SAMARITAN HOSPITAL,"1225 WILSHIRE BOULEVARD LOS ANGELES, CA 90017 (34.053209, -118.265292)",CA,LOS ANGELES,"21,009","26,390",30.2,12.4,4.5,14.3,67.6,1.2,62271011888.0,Contreras Learning Center-Los Angeles School of Global Studies,34.057926,-118.261394,High,public,29.45,17.0,340.0,93.2,1.18,1.47,96.47,0.29,0.29,0.3
90018,34.0,64.4,67.9,,,,,,"32,104","52,287",33.9,4.4,31.0,3.4,58.3,2.9,62271003396.0,Birdielee V. Bright Elementary,34.023137,-118.31114,Elementary,public,32.02,23.8,668.0,85.8,20.66,0.15,77.4,1.05,0.45,0.29
90018,34.0,64.4,67.9,,,,,,"32,104","52,287",33.9,4.4,31.0,3.4,58.3,2.9,62271012721.0,Carson-Gore Academy of Enviornmental Studies,34.039701,-118.319698,Elementary,public,26.45,22.2,667.0,95.1,7.95,0.3,88.31,2.25,1.05,0.14
90019,32.0,54.4,60.2,,,,,,"43,244","67,415",36.9,14.3,21.1,14.9,46.9,2.8,62271002808.0,Alta Loma Elementary,34.042796,-118.33896499999999,Elementary,public,14.14,22.7,545.0,94.7,10.09,0.37,85.32,3.67,0.55,-0.0
90019,32.0,54.4,60.2,,,,,,"43,244","67,415",36.9,14.3,21.1,14.9,46.9,2.8,62271002825.0,Arlington Heights Elementary,34.041230999999996,-118.32514099999999,Elementary,public,15.27,21.1,484.0,94.8,10.12,1.03,87.6,1.03,0.21,0.01
90019,32.0,54.4,60.2,,,,,,"43,244","67,415",36.9,14.3,21.1,14.9,46.9,2.8,62271013642.0,City Language Immersion Charter,34.01389,-118.34811100000002,Elementary,charter,44.71,22.7,296.0,43.9,30.41,1.69,43.24,19.26,2.36,3.04
90019,32.0,54.4,60.2,,,,,,"43,244","67,415",36.9,14.3,21.1,14.9,46.9,2.8,62271013789.0,Global Education Academy 2,34.03505,-118.27831100000002,Elementary,charter,12.66,20.8,125.0,86.4,4.8,0.0,94.4,0.0,0.8,-0.0
90020,30.0,53.0,60.3,53310.0,SHRINERS HOSPITALS FOR CHILDREN,"3160 GENEVA STREET LOS ANGELES, CA 90020 (34.067708, -118.286387)",CA,LOS ANGELES,"37,121","39,191",35.4,11.3,4.9,45.5,36.1,2.2,,,,,,,,,,,,,,,,
90021,26.0,66.4,69.0,,,,,,"12,748","3,158",47.5,18.1,22.7,4.7,50.3,4.2,62271010519.0,CDS Secondary,34.033668,-118.234249,Alternative,public,5.61,4.5,32.0,90.6,21.88,0.0,75.0,3.12,0.0,0.0
90021,26.0,66.4,69.0,,,,,,"12,748","3,158",47.5,18.1,22.7,4.7,50.3,4.2,62271002908.0,Central High,34.031653999999996,-118.253877,High,public,11.89,19.7,473.0,81.6,9.73,0.85,86.05,2.11,0.42,0.84
